Archipel	Ile	id	nom	Hotel	note_moy	note_sd	avis	note_relevee	chambres	prix	desc	categorie
Tuamotu - Gambiers	Ahe	201	Pension Cocoperle Lodge		0	0		3	6	13250	Atoll (sable blanc lagon)	
Tuamotu - Gambiers	Ahe	202	Pension Raita		0	0			3	14864	Atoll (sable blanc lagon ponton)	
Iles Sous-le-Vent (Raromata'i)	Bora Bora	141	Blue Heaven Island Lodge	Blue Heaven Island lodge Hôtel, Bora-Bora	3,9	1,2	35	3,5	5	24921	Bord de mer (sable blanc lagon)	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	138	Bora Bora Ecolodge		0	0		4	10	15400	Plaine, accès mer	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	140	Bora Bora Fishing Paradise Lodge	Bora Bora Fishing Paradise Lodge, Bora-Bora	4,8	0,4	91		3	38640	Plaine, chez l'habitant	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	39	Bora Bora Pearl Beach Resort & Spa	Hotel Bora Bora Pearl Beach Resort & Spa	4,5	0,7	890	4,5	80	74354	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	142	Bora Bungalove sur le lagon	Bora Bungalove sur le lagon Cottage, Bora-Bora	4,7	1,2	56	4,5	2	23748	Bord de mer (lagon)	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	139	Bora Vaite Lodge	Bora Vaite Lodge, Bora-Bora/Vaitape	4,7	0,6	14	3	13	10668	Plaine, accès mer	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	135	Chez Nono		0	0		4	6	15675	Bord de mer (sable blanc lagon)	Hôtel famillial
Iles Sous-le-Vent (Raromata'i)	Bora Bora	136	Chez Robert et Ti		0	0		3,5	7	10100	Bord de mer (sable blanc lagon)	Hôtel famillial
Iles Sous-le-Vent (Raromata'i)	Bora Bora	29	Conrad Bora Bora Nui Resort & Spa		0	0		5	114	132076	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	38	Four Seasons Resort Bora Bora	Hotel Four Seasons Resort Bora-Bora	4,7	0,6	256	5	107	203431	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	30	Hôtel Matira	Hotel Matira, Bora-Bora	4,1	0,8	236	4	14	25920	Bord de mer (sable blanc lagon)	Hotel
Iles Sous-le-Vent (Raromata'i)	Bora Bora	36	InterContinental Bora Bora Le Moana Resort	InterContinental Bora Bora Le Moana Resort Hôtel, Bora-Bora	4,7	0,6	384	4	62	96000	Bord de mer (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	35	InterContinental Bora Bora Resort & Thalasso Spa	Hotel InterContinental Bora Bora Resort & Thalasso Spa	4,7	0,7	294	5	80	144000	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	32	Le Maitai Polynesia Bora Bora	Maitai Polynesia Bora Bora Hôtel, Bora-Bora	4	0,9	699	3	74	49000	Bord de mer (sable blanc lagon), bungalow sur pilotis	Hotel
Iles Sous-le-Vent (Raromata'i)	Bora Bora	31	Le Méridien Bora Bora	Le Meridien Bora Bora Hôtel, Bora-Bora	4,6	0,8	388	5	99	83589	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	144	Oa Oa Lodge	Oa Oa Lodge, Bora-Bora/Vaitape	4,2	0,8	92	3	8	18198	Bord de mer (lagon), bungalow sur pilotis	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	145	Pension Alice et Raphael	Hotel Pension Alice et Raphael Chambres d'hôtes	5	0,2	194	3	2	21724	Motu, sable blanc lagon	Hôtel famillial
Iles Sous-le-Vent (Raromata'i)	Bora Bora	134	Pension Chez Rosina	Pension Chez Rosina, Bora-Bora	2,5	2	15	4,5	7	10000	Plaine, chez l'habitant	Dortoir
Iles Sous-le-Vent (Raromata'i)	Bora Bora	132	Pension Noni	Hotel Pension Noni Chambres d'hôtes, Bora-Bora/Vaitape	4,5	0,6	18	4,5	3	7750	Plaine, accès mer	Hôtel famillial
Iles Sous-le-Vent (Raromata'i)	Bora Bora	133	Rohotu Fare	Rohotu Fare Ranch, Bora-Bora	5	0	65	3	3	31087	Montagne, vue sur lagon	Hôtel famillial
Iles Sous-le-Vent (Raromata'i)	Bora Bora	33	Sofitel Bora Bora Marara Beach Resort	Sofitel Bora Bora Marara Beach Resort Hôtel, Bora-Bora	3,8	1,2	183	4	55	50227	Bord de mer (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	34	Sofitel Bora Bora Marara Private Island		0	0		4,5	31	71224	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	143	Sunset Hill Lodge	Sunset Hill Lodge Hôtel, Bora-Bora	4,2	1,2	67	4,5	4	14440	Plaine	Lodge
Iles Sous-le-Vent (Raromata'i)	Bora Bora	37	The St. Régis Bora Bora Resort	Hotel The St. Regis Bora Bora Resort	4,8	0,5	149	5	90	161352	Motu (sable blanc lagon), bungalow sur pilotis	Resort
Iles Sous-le-Vent (Raromata'i)	Bora Bora	137	Village Temanuata	Village Temanuata, Bora-Bora	3,9	1,2	150	3	15	18120	Bord de mer (sable blanc lagon)	Hotel
Iles Sous-le-Vent (Raromata'i)	Bora Bora	315		Villa Rea Hanaa, Bora-Bora/Vaitape	4,5	0,8	45	4,5	5	245000		Resort
Tuamotu - Gambiers	Fakarava	193	Havaiki Lodge		0	0		2	15	22828	Atoll (sable blanc lagon)	
Tuamotu - Gambiers	Fakarava	192	KoriKori Lodge Fakarava		0	0		4,5	2	16000	Atoll, accès à la mer	Lodge
Tuamotu - Gambiers	Fakarava	184	Motu Aito		0	0		4,5	6	12000	Motu privé (sable blanc lagon)	
Tuamotu - Gambiers	Fakarava	189	Pension Paparara		0	0		2,5	4	26228	Atoll, lagon	Hôtel famillial
Tuamotu - Gambiers	Fakarava	185	Pension Tokerau Village		0	0		3	4	13246	Atoll (sable blanc lagon)	Hôtel famillial
Tuamotu - Gambiers	Fakarava	188	Pension Vaiama Village		0	0			6	13500	Atoll (sable blanc lagon)	Hôtel famillial
Tuamotu - Gambiers	Fakarava	187	Pension Vekeveke Village		0	0			6	12600	Atoll (sable blanc lagon)	Hôtel famillial
Tuamotu - Gambiers	Fakarava	191	Raimiti		0	0		2	15	22450	Atoll (sable blanc lagon)	
Tuamotu - Gambiers	Fakarava	190	Relais Marama		0	0			5	8000	Atoll, accès à la mer	
Tuamotu - Gambiers	Fakarava	186	Tetamanu Village		0	0			5	20000	Atoll (sable blanc lagon)	
Iles Marquise	Hiva hoa	317		Hotel Relais Moeahu Chambres d'hôtes, Hiva Oa, Îles Marquises	3,7	1,5	37	3,5	8	10000		Hôtel famillial
Marquises	Hiva Oa	215	Châlets Hanakee	Chalets Hanakee, Hiva Oa, Îles Marquises	4,9	0,3	64	3	6	14000	Montagne, vue sur l'océan	Hôtel famillial
Marquises	Hiva Oa	45	Hiva Oa Hanakee Pearl Lodge	Hanakee Hiva Oa Pearl Lodge Hôtel, Îles Marquises	4,3	1,1	184	4	20	26961	Montagne, vue sur l'océan	Lodge
Marquises	Hiva Oa	217	Pension Areke Chez Kayser		0	0		5	5		Montagne, vue sur l'océan	
